Trained model result:
Loss: 1.1072806842683807
Train time: 286260159 microseconds => 4,77100265 minutes

Starting GCN training on NVIDIA GeForce RTX 3060 cuda
TRM: DataLoader created with 127 batches
TRM: Epoch  96 | Train Loss: 1.141 | Train Acc: 0.761 | Val Loss: 1.175 | Val Acc: 0.727
TRM: Epoch  97 | Train Loss: 1.135 | Train Acc: 0.769 | Val Loss: 1.151 | Val Acc: 0.754
TRM: Epoch  98 | Train Loss: 1.131 | Train Acc: 0.772 | Val Loss: 1.161 | Val Acc: 0.740
TRM: Epoch  99 | Train Loss: 1.148 | Train Acc: 0.755 | Val Loss: 1.153 | Val Acc: 0.754
TRM: Epoch 100 | Train Loss: 1.140 | Train Acc: 0.763 | Val Loss: 1.156 | Val Acc: 0.747
TRM: Epoch 101 | Train Loss: 1.143 | Train Acc: 0.759 | Val Loss: 1.154 | Val Acc: 0.750
TRM: Epoch 102 | Train Loss: 1.135 | Train Acc: 0.769 | Val Loss: 1.160 | Val Acc: 0.744
TRM: Epoch 103 | Train Loss: 1.131 | Train Acc: 0.773 | Val Loss: 1.156 | Val Acc: 0.746
TRM: Epoch 104 | Train Loss: 1.135 | Train Acc: 0.767 | Val Loss: 1.183 | Val Acc: 0.722
TRM: Epoch 105 | Train Loss: 1.165 | Train Acc: 0.737 | Val Loss: 1.158 | Val Acc: 0.745
TRM: Epoch 106 | Train Loss: 1.133 | Train Acc: 0.770 | Val Loss: 1.154 | Val Acc: 0.751
TRM: Epoch 107 | Train Loss: 1.130 | Train Acc: 0.773 | Val Loss: 1.164 | Val Acc: 0.740
TRM: Epoch 108 | Train Loss: 1.132 | Train Acc: 0.772 | Val Loss: 1.154 | Val Acc: 0.749
TRM: Epoch 109 | Train Loss: 1.129 | Train Acc: 0.774 | Val Loss: 1.148 | Val Acc: 0.754
TRM: Epoch 110 | Train Loss: 1.129 | Train Acc: 0.774 | Val Loss: 1.159 | Val Acc: 0.744
TRM: Epoch 111 | Train Loss: 1.135 | Train Acc: 0.769 | Val Loss: 1.146 | Val Acc: 0.756
TRM: Epoch 112 | Train Loss: 1.129 | Train Acc: 0.776 | Val Loss: 1.153 | Val Acc: 0.753
TRM: Epoch 113 | Train Loss: 1.135 | Train Acc: 0.769 | Val Loss: 1.148 | Val Acc: 0.756
TRM: Epoch 114 | Train Loss: 1.125 | Train Acc: 0.779 | Val Loss: 1.157 | Val Acc: 0.748
TRM: Epoch 115 | Train Loss: 1.131 | Train Acc: 0.774 | Val Loss: 1.152 | Val Acc: 0.752
TRM: Epoch 116 | Train Loss: 1.130 | Train Acc: 0.773 | Val Loss: 1.178 | Val Acc: 0.724
TRM: Epoch 117 | Train Loss: 1.134 | Train Acc: 0.771 | Val Loss: 1.158 | Val Acc: 0.744
TRM: Epoch 118 | Train Loss: 1.131 | Train Acc: 0.772 | Val Loss: 1.161 | Val Acc: 0.741
